id,objectType,actor,verb,postedTime,generator,provider,link,body,object,favoritesCount,twitter_entities,twitter_filter_level,retweetCount,info,location,inReplyTo
"tag:search.twitter.com,2005:646452953004548096",activity,object,post,2015-09-22T22:36:09.000Z,object,object,http://twitter.com/fredzannarbor/statuses/646452953004548096,@patent_girl @richardcalhoun VW already set aside $7.3B for liability. They will be lucky to survive.,object,0,object,low,0,-,-,object
"tag:search.twitter.com,2005:646452958855610368",activity,object,post,2015-09-22T22:36:10.000Z,object,object,http://twitter.com/LMJB/statuses/646452958855610368,"""It Took E.P.A. Pressure to Get VW to Admit Fault"" by BILL VLASIC and AARON M. KESSLER via NYT Business Day http://t.co/m2A1SJJSsF via @n…",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646452961623822336",activity,object,post,2015-09-22T22:36:11.000Z,object,object,http://twitter.com/Boardroominside/statuses/646452961623822336,Volkswagen board to hold a crisis meeting Wed. to deal w/ massive U.S. Diesel hacking issue #corpgov,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453380592721920",activity,object,post,2015-09-22T22:37:51.000Z,object,object,http://twitter.com/Raymossholder/statuses/646453380592721920,"Campaign 2016, Volkswagen is in BIG trouble, and other news from Ray http://t.co/eT5ltR4X2Q",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453323877380096",activity,object,post,2015-09-22T22:37:37.000Z,object,object,http://twitter.com/jlgolson/statuses/646453323877380096,"@GlennF from management. Hid it from VW, hid it from customers, etc. Went on for years, and no one knew except that team.",object,0,object,low,0,-,-,object
"tag:search.twitter.com,2005:646453332119154688",activity,object,share,2015-09-22T22:37:39.000Z,object,object,http://twitter.com/MicahJGreen/statuses/646453332119154688,RT @WIREDScience: The unique chemistry of the diesel engine is ultimately what got VW caught by the EPA: http://t.co/BU1SX6l4Wf,object,0,object,low,86,-,-,-
"tag:search.twitter.com,2005:646453347310960640",activity,object,share,2015-09-22T22:37:43.000Z,object,object,http://twitter.com/AmpedAirHeatd/statuses/646453347310960640,RT @Drudge_Report_: #Volkswagen: millions of #gas cars could be affected #vw http://t.co/MHjnBmGCYO,object,0,object,low,6,-,-,-
"tag:search.twitter.com,2005:646453234098302977",activity,object,share,2015-09-22T22:37:16.000Z,object,object,http://twitter.com/kreylix/statuses/646453234098302977,RT @xor: Harry Potter and the Mysterious Defeat Device: @grimmelm knocks it out of the park on VW and its implications http://t.co/KuirUhVP…,object,0,object,low,3,-,-,-
"tag:search.twitter.com,2005:646453248711196673",activity,object,post,2015-09-22T22:37:19.000Z,object,object,http://twitter.com/jlgolson/statuses/646453248711196673,@GlennF My theory is that a small team at VW was working on this tech and couldn’t get it to work so they faked it under enormous pressure,object,0,object,low,0,-,-,object
"tag:search.twitter.com,2005:646453247704588288",activity,object,share,2015-09-22T22:37:19.000Z,object,object,http://twitter.com/andrewlin/statuses/646453247704588288,RT @AlbertBrooks: Shocked at what VW did. Their heritage is so pure.,object,0,object,low,166,-,-,-
